wifiMAC,time,Status,VRMS A,VRMS B,VRMS C,IRMS A,IRMS B,IRMS C,Active Power(W) A,Active Power(W) B,Active Power(W) C,Active Energy(WHR) A,Active Energy(WHR) B,Active Energy(WHR) C,Reactive Power(VAR) A,Reactive Power(VAR) B,Reactive Power(VAR) C,Reactive Energy(AHHR) A,Reactive Energy(AHHR) B,Reactive Energy(AHHR) C,Apparent Power(VA) A,Apparent Power(VA) B,Apparent Power(VA) C,Apparent Energy(VARHR) A,Apparent Energy(VARHR) B,Apparent Energy(VARHR) C,VTHD A,VTHD B,VTHD C,ITHD A,ITHD B,ITHD C,Power Factor A,Power Factor B,Power Factor C
serial: dc:a6:32:89:f2:d0,2023-08-11 02:40,Normal,118.68,124.24,123.90,0.07,0.00,0.00,10.35,-0.01,0.98,0.00,0.00,0.00,-96.35,0.00,0.00,-0.03,0.00,0.00,147.25,0.22,1.36,0.04,0.00,0.00,0.50,1.88,1.80,100.00,400.00,228.57,1.95,0.00,0.41
serial: dc:a6:32:89:f2:d0,2023-08-11 02:41,Normal,118.68,124.31,123.88,0.07,0.00,0.00,17.05,-0.00,0.98,0.01,0.00,0.00,-65.81,0.00,0.15,-0.02,0.00,0.00,149.23,0.21,1.35,0.04,0.00,0.00,0.48,1.84,1.71,100.00,400.00,230.79,1.93,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:42,Normal,118.32,123.95,123.56,0.08,0.00,0.00,2.99,-0.01,0.99,0.01,0.00,0.00,-64.77,0.00,0.30,-0.02,0.00,0.00,153.83,0.21,1.36,0.04,0.00,0.00,0.52,1.74,2.22,100.00,400.00,233.09,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 02:43,Normal,118.68,124.31,123.92,0.07,0.00,0.00,14.19,-0.00,0.97,0.00,0.00,0.00,-102.40,-0.15,0.00,-0.03,-0.00,0.00,146.09,0.24,1.35,0.04,0.00,0.00,0.53,1.98,1.91,100.00,400.00,229.99,1.97,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:44,Normal,118.78,124.36,123.97,0.08,0.00,0.00,17.40,0.00,0.99,0.01,0.00,0.00,-70.53,0.00,0.15,-0.02,0.00,0.00,152.03,0.22,1.34,0.04,0.00,0.00,0.46,1.93,1.64,100.00,400.00,227.55,1.94,0.00,0.40
serial: dc:a6:32:89:f2:d0,2023-08-11 02:45,Normal,118.61,124.26,123.83,0.07,0.00,0.00,17.60,0.00,1.01,0.01,0.00,0.00,-66.99,0.00,0.44,-0.02,0.00,0.00,140.79,0.22,1.39,0.04,0.00,0.00,0.49,1.52,1.82,100.00,400.00,228.98,1.95,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:46,Normal,118.61,124.19,123.80,0.07,0.00,0.00,17.59,-0.00,0.98,0.01,0.00,0.00,-70.97,0.00,0.15,-0.02,0.00,0.00,143.16,0.22,1.34,0.04,0.00,0.00,0.53,2.12,1.75,100.00,400.00,225.87,1.94,0.00,0.38
serial: dc:a6:32:89:f2:d0,2023-08-11 02:47,Normal,118.63,124.26,123.90,0.07,0.00,0.00,13.46,-0.00,0.96,0.01,0.00,0.00,-60.35,0.00,0.44,-0.02,0.00,0.00,139.01,0.22,1.34,0.04,0.00,0.00,0.49,1.92,1.67,100.00,400.00,230.32,1.94,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:48,Normal,118.68,124.29,123.92,0.07,0.00,0.00,13.34,0.01,1.01,0.01,0.00,0.00,-79.23,0.00,0.15,-0.02,0.00,0.00,140.38,0.24,1.38,0.04,0.00,0.00,0.41,1.38,1.84,100.00,400.00,229.79,1.95,0.00,0.39
serial: dc:a6:32:89:f2:d0,2023-08-11 02:49,Normal,118.56,124.19,123.83,0.07,0.00,0.00,14.45,0.00,1.00,0.01,0.00,0.00,-62.27,0.00,0.30,-0.02,0.00,0.00,140.16,0.22,1.36,0.04,0.00,0.00,0.57,1.66,1.59,100.00,400.00,227.72,1.94,0.00,0.40
